2018-12-26 22:36:34.9000 Info Loading Cardigann definition /app/Jackett/Definitions/audiobookbay.yml 
2018-12-26 22:36:34.9069 Info Loading Cardigann definition /app/Jackett/Definitions/audiobooktorrents.yml 
2018-12-26 22:36:34.9134 Info Loading Cardigann definition /app/Jackett/Definitions/awesomehd.yml 
2018-12-26 22:36:34.9152 Info Loading Cardigann definition /app/Jackett/Definitions/b2s-share.yml 
2018-12-26 22:36:34.9293 Info Loading Cardigann definition /app/Jackett/Definitions/backups.yml 
2018-12-26 22:36:34.9337 Info Loading Cardigann definition /app/Jackett/Definitions/bigtorrent.yml 
2018-12-26 22:36:34.9382 Info Loading Cardigann definition /app/Jackett/Definitions/bigtower.yml 
2018-12-26 22:36:34.9446 Info Loading Cardigann definition /app/Jackett/Definitions/bithorlo.yml 
2018-12-26 22:36:34.9488 Info Loading Cardigann definition /app/Jackett/Definitions/bithumen.yml 
2018-12-26 22:36:34.9541 Info Loading Cardigann definition /app/Jackett/Definitions/bitme.yml 
2018-12-26 22:36:34.9593 Info Loading Cardigann definition /app/Jackett/Definitions/bitspyder.yml 
2018-12-26 22:36:34.9650 Info Loading Cardigann definition /app/Jackett/Definitions/bluebird.yml 
2018-12-26 22:36:34.9684 Info Loading Cardigann definition /app/Jackett/Definitions/blutopia.yml 
2018-12-26 22:36:34.9716 Info Loading Cardigann definition /app/Jackett/Definitions/btbit.yml 
2018-12-26 22:36:34.9716 Info Loading Cardigann definition /app/Jackett/Definitions/btgigs.yml 
2018-12-26 22:36:34.9777 Info Loading Cardigann definition /app/Jackett/Definitions/btnext.yml 
2018-12-26 22:36:34.9869 Info Loading Cardigann definition /app/Jackett/Definitions/btstornet.yml 
2018-12-26 22:36:34.9869 Info Loading Cardigann definition /app/Jackett/Definitions/btxpress.yml 
2018-12-26 22:36:34.9922 Info Loading Cardigann definition /app/Jackett/Definitions/carpathians.yml 
2018-12-26 22:36:34.9969 Info Loading Cardigann definition /app/Jackett/Definitions/ccfbits.yml 
2018-12-26 22:36:35.0016 Info Loading Cardigann definition /app/Jackett/Definitions/chdbits.yml 
2018-12-26 22:36:35.0050 Info Loading Cardigann definition /app/Jackett/Definitions/cinemageddon.yml 
2018-12-26 22:36:35.0084 Info Loading Cardigann definition /app/Jackett/Definitions/cinematik.yml 
2018-12-26 22:36:35.0119 Info Loading Cardigann definition /app/Jackett/Definitions/classix.yml 
2018-12-26 22:36:35.0119 Info Loading Cardigann definition /app/Jackett/Definitions/cpabien.yml 
2018-12-26 22:36:35.0167 Info Loading Cardigann definition /app/Jackett/Definitions/cztorrent.yml 
2018-12-26 22:36:35.0215 Info Loading Cardigann definition /app/Jackett/Definitions/datascene.yml 
2018-12-26 22:36:35.0263 Info Loading Cardigann definition /app/Jackett/Definitions/deildu.yml 
2018-12-26 22:36:35.0263 Info Loading Cardigann definition /app/Jackett/Definitions/desitorrents.yml 
2018-12-26 22:36:35.0361 Info Loading Cardigann definition /app/Jackett/Definitions/diablotorrent.yml 
2018-12-26 22:36:35.0414 Info Loading Cardigann definition /app/Jackett/Definitions/downloadville.yml 
2018-12-26 22:36:35.0506 Info Loading Cardigann definition /app/Jackett/Definitions/dragonworldreloaded.yml 
